Title,Publication Date,Description,Link,author,Article_Outline,Related_Courses,Related_Topics
4 Tips for Preparing AI-Enhanced Workshops,"May 30, 2025","Plan AI-enhanced workshops by preparing warmup activities involving AI, uploading context files, creating custom AIs, and providing adaptable sample prompts.",https://www.nngroup.com/articles/preparing-ai-workshops/,Tanner Kohler,"1. Prepare an AI WarmUp Activity to Build Familiarity, 2. Upload Files for Quick and Easy Context, 3. Create a Custom AI for More Powerful Context and Constraints, 4. Provide Adaptable Sample Prompts, Conclusion","Designing AI Experiences, Practical AI for UX Professionals, Facilitating UX Workshops",Artificial Intelligence
The Template Trap: How Template Culture Is Dumbing Down UX,"May 30, 2025",Overreliance on frameworks as universal solutions rather than adaptable starting points undermines critical thinking and threatens our field's intellectual rigor.,https://www.nngroup.com/articles/template-trap/,"Sarah Gibbons, Claire Jen","The Template Trap, The Irony Is Not Lost, Amplification Through Social Media, Why the Template Trap Matters, Moving Beyond Template Dependency, Reclaiming Intellectual Rigor in UX","AI for Design Workflows, Design Thinking Essentials, Discovery: Building the Right Thing",Design Process
AI as a Creative Teammate,"May 23, 2025",AI acts as a creative teammate in group settings as it does for solo work. Thoughtful facilitation ensures teams leverage AI effectively in workshops and critiques.,https://www.nngroup.com/articles/ai-creative-teammate/,Tanner Kohler,"AI Experiment with 776 Procter & Gamble Employees, The End of Team Ideation?, How Do Teams Collaboratively Use AI?, Next in the Series","Designing AI Experiences, Practical AI for UX Professionals, Facilitating UX Workshops","Artificial Intelligence, Ideation"
Designing for Serial Task Switching,"May 23, 2025","Serial task switching, or rapidly shifting attention between tasks, is a natural user behavior that lowers productivity and increases stress and the chance of errors.",https://www.nngroup.com/articles/serial-task-switching/,Megan Chan,"Multitasking on the Web Is a Myth, Impact of Task Switching, Interface Patterns That Support Task Switching, Guidelines to Support Task Switching","The Human Mind and Usability, Persuasive and Emotional Design, Web Page UX Design","Behavior Patterns, Psychology and UX"
AI Chatbots Discourage Error Checking,"May 16, 2025","AI hallucinations threaten the usefulness of LLM-generated text in professional environments, but today’s LLMs encourage users to take outputs at face value.",https://www.nngroup.com/articles/ai-chatbots-discourage-error-checking/,Pavel Samsonov,"Users Struggle to Verify AI Outputs Successfully, Reducing Errors Increases Interaction Cost, LLM Outputs Signal Authoritativeness, Users Are Not Building Expertise to Spot Errors, A Finished Product Is Harder to Evaluate, Designing Checkable AI Tools","Designing AI Experiences, Practical AI for UX Professionals, Accelerating Research with AI",Artificial Intelligence
"UX Copy Sizes: Long, Short, and Micro","May 16, 2025","Better target user needs by understanding the three sizes of copy: long-form, short-form, and microcopy.",https://www.nngroup.com/articles/ux-copy-sizes/,Taylor Dykes,"Content vs. Copy: What’s the Difference?, Long-Form Copy, Short-Form Copy, Microcopy, Copy Sizes: In Brief",Writing Compelling Digital Copy,Writing for the Web
10 Usability Heuristics for User Interface Design,"April 24, 1994","Jakob Nielsen's 10 general principles for interaction design. They are called ""heuristics"" because they are broad rules of thumb for UX and not specific usability guidelines.",https://www.nngroup.com/articles/ten-usability-heuristics/,Jakob Nielsen,"1: Visibility of System Status, 2: Match Between the System and the Real World, 3: User Control and Freedom, 4: Consistency and Standards, 5: Error Prevention, 6: Recognition Rather than Recall, 7: Flexibility and Efficiency of Use, 8: Aesthetic and Minimalist Design, 9: Help Users Recognize, Diagnose, and Recover from Errors, 10: Help and Documentation, Free 10 Heuristics Poster",UX Basic Training,Heuristic Evaluation
Empathy Mapping: The First Step in Design Thinking,"January 14, 2018",Visualizing user attitudes and behaviors in an empathy map helps UX teams align on a deep understanding of end users. The mapping process also reveals any holes in existing user data.,https://www.nngroup.com/articles/empathy-mapping/,Sarah Gibbons,"Format of an Empathy Map, One User vs. Multiple-Users Empathy Maps, Why Use Empathy Maps, Process: How to Build an Empathy Map, Conclusion, References","Facilitating UX Workshops, Design Thinking Essentials, Lean UX and Agile","Design Process, UX Teams"
When to Use Which User-Experience Research Methods,"October 12, 2014","Modern day UX research methods answer a wide range of questions. To know when to use which method, each of 20 methods is mapped across 3 dimensions and over time within a typical product-development process.",https://www.nngroup.com/articles/which-ux-research-methods/,Christian Rohrer,"Three-Dimensional Framework, The Attitudinal vs. Behavioral Dimension, The Qualitative vs. Quantitative Dimension, The Context of Product Use, Phases of Product Development (the Time Dimension), Art or Science?, 20 UX Methods in Brief","User Research Methods: From Strategy to Requirements to Design, Discovery: Building the Right Thing, Usability Testing","Research Methods, User Testing, Analytics & Metrics"
Service Blueprints: Definition,"August 27, 2017",Service blueprints visualize organizational processes in order to optimize how a business delivers a user experience.,https://www.nngroup.com/articles/service-blueprints-definition/,Sarah Gibbons,"What Is a Service Blueprint?, Benefits of Service Blueprinting, Key Elements of a Service Blueprint, Lines, Secondary Elements to Include in a Service Blueprint, Conclusion","Service Blueprinting, Customer Journey Management, Journey Mapping to Understand Customer Needs","Design Process, Customer Journeys, Managing UX Teams"
